level_0,date
354,01/03/1993
355,01/03/1981
356,01/09/2003
357,01/10/1993
358,01/01/1983
359,01/07/1994
360,01/12/2008
361,01/10/1980
362,01/08/2003
363,01/12/1975
364,01/11/2010
365,01/07/1997
366,01/07/2014
367,01/09/2001
368,01/08/1986
369,01/01/1978
370,01/09/1975
371,01/01/2009
372,01/05/1995
373,01/08/1989
374,01/11/2000
375,01/06/1973
376,01/02/1999
377,01/06/2001
378,01/12/1978
379,01/08/2009
380,01/07/1973
381,01/01/2014
382,01/09/1975
383,01/12/2012
384,01/05/1999
385,01/07/1989
386,01/07/2009
387,01/11/1998
388,01/03/1995
389,01/02/2009
390,01/08/1988
391,01/04/2007
392,01/05/2000
393,01/04/2012
394,01/10/2001
395,01/02/1977
396,01/08/2008
397,01/02/1983
398,01/05/1979
399,01/01/1992
400,01/11/2008
401,01/12/2014
402,01/04/1974
403,01/10/1981
404,01/10/1986
405,01/03/1973
406,01/12/1994
407,01/08/1999
408,01/10/2010
409,01/10/1994
410,01/01/2007
411,01/08/2010
412,01/03/1990
413,01/11/2016
414,01/04/2004
415,01/02/1973
416,01/07/1987
417,01/08/2000
418,01/08/1975
419,01/05/1977
420,01/03/2000
421,01/09/1984
422,01/04/1973
423,01/12/1986
424,01/04/1979
425,01/07/2004
426,01/11/1984
427,01/05/2016
428,01/12/2007
429,01/11/1982
430,01/06/1981
431,01/04/2013
432,01/04/1999
433,01/05/2006
434,01/10/1978
435,01/12/1989
436,01/02/1974
437,01/11/1986
438,01/04/1983
439,01/10/2014
440,01/06/1989
441,01/09/1980
442,01/09/1992
443,01/09/2000
444,01/07/1981
445,01/01/2008
446,01/04/2002
447,01/07/1985
448,01/05/2010
449,01/08/2002
450,01/01/1994
451,01/12/2004
452,01/03/2003
453,01/07/1991
454,01/07/1982
455,01/01/1984
456,01/01/2000
457,01/01/2001
458,01/01/1982
459,01/01/1998
460,01/01/2012
461,01/01/1991
462,01/01/1988
463,01/01/2014
464,01/01/2016
465,01/01/1976
466,01/01/1981
467,01/01/2011
468,01/01/1997
469,01/01/2003
470,01/01/1983
471,01/01/1999
472,01/01/2010
473,01/01/1975
474,01/01/1972
475,01/01/2015
476,01/01/1989
477,01/01/1994
478,01/01/1993
479,01/01/1996
480,01/01/2013
481,01/01/1974
482,01/01/1990
483,01/01/1995
484,01/01/2004
485,01/01/1987
486,01/01/1973
487,01/01/1992
488,01/01/1977
489,01/01/1985
490,01/01/2007
491,01/01/2009
492,01/01/1986
493,01/01/1978
494,01/01/2002
495,01/01/1979
496,01/01/2006
497,01/01/2008
498,01/01/2005
499,01/01/1980
