DAY,CENTERLAT,CENTERLON,FCOUNT
1987-06-02,42.4,-83.7,1
1987-06-21,42.4,-83.7,1
1988-07-17,42.4,-83.7,2
1988-07-22,42.4,-83.7,2
1988-07-30,42.4,-83.7,8
1988-07-31,42.4,-83.7,1
1988-08-02,42.4,-83.7,31
1988-08-05,42.4,-83.7,10
1988-08-09,42.4,-83.7,7
1988-08-10,42.4,-83.7,1
1988-08-11,42.4,-83.7,4
1988-08-12,42.4,-83.7,11
1988-08-13,42.4,-83.7,6
1988-08-15,42.4,-83.7,16
1988-08-18,42.4,-83.7,15
1988-09-18,42.4,-83.7,1
1988-09-20,42.4,-83.7,1
1988-09-22,42.4,-83.7,1
1988-10-17,42.4,-83.7,1
1989-03-18,42.4,-83.7,2
1989-04-17,42.4,-83.7,1
1989-05-25,42.4,-83.7,7
1989-05-30,42.4,-83.7,1
1989-05-31,42.4,-83.7,4
1989-06-01,42.4,-83.7,3
1989-06-03,42.4,-83.7,1
1989-06-09,42.4,-83.7,10
1989-06-15,42.4,-83.7,1
1989-06-18,42.4,-83.7,2
1989-06-19,42.4,-83.7,1
1989-06-21,42.4,-83.7,1
1989-06-26,42.4,-83.7,7
1989-06-27,42.4,-83.7,23
1989-07-02,42.4,-83.7,1
1989-07-25,42.4,-83.7,1
1989-07-26,42.4,-83.7,2
1989-07-27,42.4,-83.7,6
1989-07-28,42.4,-83.7,15
1989-08-11,42.4,-83.7,13
1989-08-12,42.4,-83.7,4
1989-08-15,42.4,-83.7,20
1989-08-23,42.4,-83.7,2
1989-09-08,42.4,-83.7,9
1989-09-09,42.4,-83.7,2
1989-10-10,42.4,-83.7,1
1989-11-14,42.4,-83.7,2
1990-05-17,42.4,-83.7,1
1990-06-03,42.4,-83.7,6
1990-06-14,42.4,-83.7,4
1990-06-27,42.4,-83.7,5
1990-06-30,42.4,-83.7,10
1990-07-17,42.4,-83.7,7
1990-07-19,42.4,-83.7,4
1990-08-19,42.4,-83.7,3
1990-08-28,42.4,-83.7,12
1990-09-07,42.4,-83.7,110
1990-09-19,42.4,-83.7,1
1990-10-17,42.4,-83.7,1
1991-03-22,42.4,-83.7,2
1991-03-28,42.4,-83.7,3
1991-04-09,42.4,-83.7,3
1991-05-13,42.4,-83.7,1
1991-05-17,42.4,-83.7,1
1991-05-24,42.4,-83.7,14
1991-05-25,42.4,-83.7,9
1991-05-26,42.4,-83.7,5
1991-05-31,42.4,-83.7,8
1991-06-01,42.4,-83.7,2
1991-06-02,42.4,-83.7,4
1991-06-15,42.4,-83.7,15
1991-06-16,42.4,-83.7,1
1991-07-03,42.4,-83.7,1
1991-07-07,42.4,-83.7,1
1991-07-08,42.4,-83.7,2
1991-07-29,42.4,-83.7,3
1991-08-15,42.4,-83.7,5
1991-08-17,42.4,-83.7,6
1991-08-19,42.4,-83.7,3
1991-08-30,42.4,-83.7,98
1991-08-31,42.4,-83.7,5
1991-09-03,42.4,-83.7,3
1992-03-04,42.4,-83.7,1
1992-04-11,42.4,-83.7,2
1992-04-16,42.4,-83.7,3
1992-04-21,42.4,-83.7,1
1992-04-24,42.4,-83.7,1
1992-05-23,42.4,-83.7,1
1992-06-18,42.4,-83.7,23
1992-07-05,42.4,-83.7,2
1992-07-14,42.4,-83.7,31
1992-07-29,42.4,-83.7,2
1992-07-31,42.4,-83.7,3
1992-08-08,42.4,-83.7,1
1992-08-11,42.4,-83.7,3
1992-08-26,42.4,-83.7,1
1992-08-27,42.4,-83.7,4
1992-09-03,42.4,-83.7,1
1992-09-07,42.4,-83.7,5
1992-09-08,42.4,-83.7,1
1992-09-09,42.4,-83.7,2
1992-09-10,42.4,-83.7,1
1992-09-15,42.4,-83.7,5
1992-09-16,42.4,-83.7,2
1992-09-18,42.4,-83.7,3
1992-10-09,42.4,-83.7,4
1992-10-14,42.4,-83.7,2
1992-10-15,42.4,-83.7,7
1992-11-22,42.4,-83.7,1
1992-11-23,42.4,-83.7,1
1992-12-16,42.4,-83.7,1
1993-06-07,42.4,-83.7,4
1993-06-08,42.4,-83.7,7
1993-06-19,42.4,-83.7,2
1993-06-25,42.4,-83.7,2
1993-06-27,42.4,-83.7,3
1993-07-09,42.4,-83.7,9
1993-07-14,42.4,-83.7,2
1993-07-25,42.4,-83.7,7
