DAY,CENTERLAT,CENTERLON,FCOUNT
1988-07-22,42.4,-83.9,1
1988-07-23,42.4,-83.9,6
1988-07-26,42.4,-83.9,2
1988-07-28,42.4,-83.9,3
1988-07-30,42.4,-83.9,4
1988-08-04,42.4,-83.9,3
1988-08-05,42.4,-83.9,8
1988-08-09,42.4,-83.9,11
1988-08-12,42.4,-83.9,44
1988-08-13,42.4,-83.9,1
1988-08-15,42.4,-83.9,51
1988-08-18,42.4,-83.9,16
1988-09-04,42.4,-83.9,2
1988-09-18,42.4,-83.9,6
1988-09-22,42.4,-83.9,2
1988-10-17,42.4,-83.9,1
1989-01-08,42.4,-83.9,1
1989-03-14,42.4,-83.9,2
1989-03-15,42.4,-83.9,1
1989-03-17,42.4,-83.9,1
1989-03-18,42.4,-83.9,6
1989-04-25,42.4,-83.9,3
1989-05-25,42.4,-83.9,27
1989-05-31,42.4,-83.9,9
1989-06-01,42.4,-83.9,2
1989-06-09,42.4,-83.9,4
1989-06-19,42.4,-83.9,7
1989-06-21,42.4,-83.9,5
1989-06-23,42.4,-83.9,1
1989-06-26,42.4,-83.9,2
1989-06-27,42.4,-83.9,16
1989-07-02,42.4,-83.9,1
1989-07-26,42.4,-83.9,4
1989-07-27,42.4,-83.9,18
1989-07-28,42.4,-83.9,6
1989-08-05,42.4,-83.9,2
1989-08-11,42.4,-83.9,7
1989-08-12,42.4,-83.9,22
1989-08-15,42.4,-83.9,7
1989-09-06,42.4,-83.9,1
1989-09-08,42.4,-83.9,16
1989-11-14,42.4,-83.9,2
1990-05-17,42.4,-83.9,1
1990-06-03,42.4,-83.9,5
1990-06-14,42.4,-83.9,3
1990-06-27,42.4,-83.9,6
1990-06-30,42.4,-83.9,10
1990-07-09,42.4,-83.9,1
1990-07-17,42.4,-83.9,6
1990-07-18,42.4,-83.9,1
1990-07-19,42.4,-83.9,19
1990-08-11,42.4,-83.9,2
1990-08-19,42.4,-83.9,5
1990-08-28,42.4,-83.9,1
1990-09-06,42.4,-83.9,2
1990-09-07,42.4,-83.9,94
1990-09-14,42.4,-83.9,5
1990-09-19,42.4,-83.9,1
1991-03-23,42.4,-83.9,1
1991-03-28,42.4,-83.9,2
1991-05-01,42.4,-83.9,1
1991-05-24,42.4,-83.9,21
1991-05-25,42.4,-83.9,2
1991-06-02,42.4,-83.9,7
1991-06-15,42.4,-83.9,35
1991-06-16,42.4,-83.9,2
1991-07-07,42.4,-83.9,3
1991-07-08,42.4,-83.9,13
1991-07-21,42.4,-83.9,5
1991-07-23,42.4,-83.9,1
1991-07-29,42.4,-83.9,1
1991-08-03,42.4,-83.9,1
1991-08-15,42.4,-83.9,11
1991-08-17,42.4,-83.9,5
1991-08-19,42.4,-83.9,4
1991-08-30,42.4,-83.9,39
1991-09-03,42.4,-83.9,2
1992-04-11,42.4,-83.9,1
1992-04-16,42.4,-83.9,2
1992-04-21,42.4,-83.9,1
1992-05-22,42.4,-83.9,1
1992-06-18,42.4,-83.9,22
1992-06-23,42.4,-83.9,2
1992-06-26,42.4,-83.9,1
1992-07-05,42.4,-83.9,1
1992-07-14,42.4,-83.9,19
1992-07-16,42.4,-83.9,1
1992-07-18,42.4,-83.9,1
1992-07-31,42.4,-83.9,3
1992-08-27,42.4,-83.9,1
1992-09-03,42.4,-83.9,1
1992-09-07,42.4,-83.9,4
1992-09-08,42.4,-83.9,7
1992-09-09,42.4,-83.9,1
1992-09-10,42.4,-83.9,1
1992-09-16,42.4,-83.9,1
1992-10-09,42.4,-83.9,2
1992-10-14,42.4,-83.9,3
1992-10-15,42.4,-83.9,6
1992-11-22,42.4,-83.9,1
1992-11-23,42.4,-83.9,2
1993-05-04,42.4,-83.9,4
1993-06-07,42.4,-83.9,4
1993-06-08,42.4,-83.9,1
1993-06-09,42.4,-83.9,1
1993-06-19,42.4,-83.9,16
1993-06-27,42.4,-83.9,1
1993-06-28,42.4,-83.9,1
1993-07-09,42.4,-83.9,18
1993-07-14,42.4,-83.9,11
1993-07-19,42.4,-83.9,1
1993-07-25,42.4,-83.9,12
1993-07-26,42.4,-83.9,2
1993-08-10,42.4,-83.9,4
1993-08-24,42.4,-83.9,13
1993-08-26,42.4,-83.9,4
1993-08-28,42.4,-83.9,2
1993-09-02,42.4,-83.9,1
1993-09-10,42.4,-83.9,1
1993-09-12,42.4,-83.9,1
1993-09-21,42.4,-83.9,2
1994-03-21,42.4,-83.9,5
1994-04-15,42.4,-83.9,9
1994-04-24,42.4,-83.9,1
1994-04-26,42.4,-83.9,14
1994-04-27,42.4,-83.9,16
1994-06-13,42.4,-83.9,40
1994-06-20,42.4,-83.9,4
1994-06-26,42.4,-83.9,1
1994-06-29,42.4,-83.9,3
1994-07-05,42.4,-83.9,40
1994-07-06,42.4,-83.9,2
1994-07-07,42.4,-83.9,5
1994-07-13,42.4,-83.9,2
1994-07-20,42.4,-83.9,5
1994-07-21,42.4,-83.9,5
1994-07-25,42.4,-83.9,3
1994-07-29,42.4,-83.9,12
1994-08-13,42.4,-83.9,17
1994-08-14,42.4,-83.9,1
1994-08-20,42.4,-83.9,2
1994-08-28,42.4,-83.9,64
1994-09-14,42.4,-83.9,3
1994-09-25,42.4,-83.9,4
1994-10-01,42.4,-83.9,7
1995-04-11,42.4,-83.9,1
1995-05-10,42.4,-83.9,5
1995-05-17,42.4,-83.9,1
1995-05-28,42.4,-83.9,10
1995-06-24,42.4,-83.9,17
1995-06-25,42.4,-83.9,48
