DAY,CENTERLAT,CENTERLON,FCOUNT
1987-06-16,42.4,-83.8,1
1987-08-02,42.4,-83.8,1
1987-08-17,42.4,-83.8,1
1988-07-23,42.4,-83.8,5
1988-07-26,42.4,-83.8,4
1988-07-30,42.4,-83.8,6
1988-08-02,42.4,-83.8,8
1988-08-05,42.4,-83.8,13
1988-08-09,42.4,-83.8,5
1988-08-10,42.4,-83.8,1
1988-08-11,42.4,-83.8,1
1988-08-12,42.4,-83.8,25
1988-08-13,42.4,-83.8,4
1988-08-15,42.4,-83.8,48
1988-08-18,42.4,-83.8,18
1988-09-04,42.4,-83.8,1
1988-09-18,42.4,-83.8,3
1988-09-23,42.4,-83.8,1
1988-10-17,42.4,-83.8,3
1988-11-04,42.4,-83.8,2
1989-03-14,42.4,-83.8,1
1989-03-15,42.4,-83.8,1
1989-03-18,42.4,-83.8,5
1989-04-17,42.4,-83.8,3
1989-04-25,42.4,-83.8,3
1989-05-25,42.4,-83.8,17
1989-05-31,42.4,-83.8,6
1989-06-01,42.4,-83.8,1
1989-06-03,42.4,-83.8,1
1989-06-18,42.4,-83.8,1
1989-06-19,42.4,-83.8,9
1989-06-21,42.4,-83.8,5
1989-06-26,42.4,-83.8,2
1989-06-27,42.4,-83.8,28
1989-07-25,42.4,-83.8,1
1989-07-26,42.4,-83.8,8
1989-07-27,42.4,-83.8,13
1989-07-28,42.4,-83.8,18
1989-08-05,42.4,-83.8,1
1989-08-11,42.4,-83.8,3
1989-08-12,42.4,-83.8,14
1989-08-15,42.4,-83.8,7
1989-09-08,42.4,-83.8,8
1989-11-14,42.4,-83.8,3
1989-11-15,42.4,-83.8,2
1990-05-17,42.4,-83.8,1
1990-06-03,42.4,-83.8,5
1990-06-27,42.4,-83.8,2
1990-06-30,42.4,-83.8,14
1990-07-17,42.4,-83.8,7
1990-07-19,42.4,-83.8,15
1990-08-19,42.4,-83.8,3
1990-08-28,42.4,-83.8,1
1990-09-07,42.4,-83.8,107
1990-09-14,42.4,-83.8,2
1990-09-19,42.4,-83.8,4
1991-03-28,42.4,-83.8,2
1991-04-09,42.4,-83.8,2
1991-05-24,42.4,-83.8,9
1991-05-25,42.4,-83.8,7
1991-05-31,42.4,-83.8,1
1991-06-01,42.4,-83.8,1
1991-06-02,42.4,-83.8,3
1991-06-15,42.4,-83.8,15
1991-07-07,42.4,-83.8,6
1991-07-08,42.4,-83.8,10
1991-07-21,42.4,-83.8,2
1991-07-23,42.4,-83.8,2
1991-07-29,42.4,-83.8,1
1991-08-03,42.4,-83.8,2
1991-08-08,42.4,-83.8,1
1991-08-15,42.4,-83.8,14
1991-08-17,42.4,-83.8,1
