DAY,CENTERLAT,CENTERLON,FCOUNT
1987-07-06,42.3,-83.9,1
1987-07-26,42.3,-83.9,2
1988-04-03,42.3,-83.9,1
1988-06-23,42.3,-83.9,5
1988-07-17,42.3,-83.9,2
1988-07-23,42.3,-83.9,7
1988-07-25,42.3,-83.9,8
1988-07-26,42.3,-83.9,13
1988-07-28,42.3,-83.9,1
1988-07-30,42.3,-83.9,2
1988-08-04,42.3,-83.9,14
1988-08-05,42.3,-83.9,3
1988-08-09,42.3,-83.9,10
1988-08-10,42.3,-83.9,9
1988-08-12,42.3,-83.9,4
1988-08-15,42.3,-83.9,77
1988-08-18,42.3,-83.9,7
1988-09-16,42.3,-83.9,1
1988-09-18,42.3,-83.9,4
1988-09-20,42.3,-83.9,1
1988-09-22,42.3,-83.9,1
1988-09-23,42.3,-83.9,2
1988-10-17,42.3,-83.9,1
1988-10-18,42.3,-83.9,1
1988-11-04,42.3,-83.9,1
1989-01-08,42.3,-83.9,3
1989-03-18,42.3,-83.9,1
1989-04-17,42.3,-83.9,2
1989-05-25,42.3,-83.9,32
1989-05-30,42.3,-83.9,2
1989-05-31,42.3,-83.9,17
1989-06-01,42.3,-83.9,8
1989-06-09,42.3,-83.9,6
1989-06-18,42.3,-83.9,2
1989-06-19,42.3,-83.9,9
1989-06-21,42.3,-83.9,2
1989-06-27,42.3,-83.9,42
1989-07-02,42.3,-83.9,17
1989-07-22,42.3,-83.9,1
1989-07-25,42.3,-83.9,22
1989-07-26,42.3,-83.9,33
1989-07-27,42.3,-83.9,9
1989-08-04,42.3,-83.9,1
1989-08-11,42.3,-83.9,6
1989-08-12,42.3,-83.9,6
1989-08-15,42.3,-83.9,10
1989-09-08,42.3,-83.9,9
1989-09-09,42.3,-83.9,1
1989-10-10,42.3,-83.9,1
1990-02-09,42.3,-83.9,1
1990-06-03,42.3,-83.9,9
1990-06-14,42.3,-83.9,2
1990-06-27,42.3,-83.9,6
1990-06-30,42.3,-83.9,2
1990-07-09,42.3,-83.9,22
1990-07-18,42.3,-83.9,1
1990-07-19,42.3,-83.9,7
1990-08-11,42.3,-83.9,62
1990-08-19,42.3,-83.9,5
1990-08-28,42.3,-83.9,1
1990-09-06,42.3,-83.9,2
1990-09-07,42.3,-83.9,149
1990-09-14,42.3,-83.9,2
1991-04-08,42.3,-83.9,1
1991-05-13,42.3,-83.9,17
1991-05-24,42.3,-83.9,19
1991-05-25,42.3,-83.9,9
1991-06-02,42.3,-83.9,3
1991-06-15,42.3,-83.9,6
1991-06-16,42.3,-83.9,8
1991-07-03,42.3,-83.9,2
1991-07-07,42.3,-83.9,6
1991-07-08,42.3,-83.9,13
1991-07-23,42.3,-83.9,5
1991-08-03,42.3,-83.9,3
1991-08-08,42.3,-83.9,1
1991-08-15,42.3,-83.9,4
1991-08-17,42.3,-83.9,6
1991-08-19,42.3,-83.9,1
1991-08-30,42.3,-83.9,40
1991-09-03,42.3,-83.9,40
1991-10-04,42.3,-83.9,1
1992-02-15,42.3,-83.9,2
1992-04-11,42.3,-83.9,1
1992-04-16,42.3,-83.9,1
1992-04-21,42.3,-83.9,1
1992-06-18,42.3,-83.9,41
1992-07-05,42.3,-83.9,2
1992-07-14,42.3,-83.9,4
1992-07-16,42.3,-83.9,5
1992-07-23,42.3,-83.9,1
1992-07-31,42.3,-83.9,1
1992-08-11,42.3,-83.9,1
1992-09-03,42.3,-83.9,1
1992-09-08,42.3,-83.9,1
1992-09-09,42.3,-83.9,1
1992-09-10,42.3,-83.9,2
1992-09-15,42.3,-83.9,18
1992-09-16,42.3,-83.9,28
1992-09-18,42.3,-83.9,2
1992-10-09,42.3,-83.9,1
1992-10-14,42.3,-83.9,2
1992-10-15,42.3,-83.9,8
1992-10-16,42.3,-83.9,2
1992-11-22,42.3,-83.9,1
1992-11-23,42.3,-83.9,2
1993-04-11,42.3,-83.9,1
1993-04-15,42.3,-83.9,3
1993-05-04,42.3,-83.9,1
1993-06-07,42.3,-83.9,8
1993-06-08,42.3,-83.9,5
1993-06-09,42.3,-83.9,3
1993-06-19,42.3,-83.9,10
1993-06-20,42.3,-83.9,1
1993-06-27,42.3,-83.9,1
1993-06-28,42.3,-83.9,1
1993-07-09,42.3,-83.9,18
1993-07-14,42.3,-83.9,27
1993-07-18,42.3,-83.9,1
1993-07-19,42.3,-83.9,2
1993-07-25,42.3,-83.9,5
1993-07-26,42.3,-83.9,28
1993-08-10,42.3,-83.9,1
1993-08-23,42.3,-83.9,1
1993-08-24,42.3,-83.9,2
1993-08-26,42.3,-83.9,3
1993-09-12,42.3,-83.9,7
1994-03-21,42.3,-83.9,1
1994-03-24,42.3,-83.9,3
1994-04-13,42.3,-83.9,4
1994-04-15,42.3,-83.9,5
1994-04-26,42.3,-83.9,11
1994-04-27,42.3,-83.9,16
1994-06-13,42.3,-83.9,73
1994-06-20,42.3,-83.9,2
1994-06-24,42.3,-83.9,1
1994-06-29,42.3,-83.9,4
1994-07-05,42.3,-83.9,12
1994-07-06,42.3,-83.9,6
1994-07-07,42.3,-83.9,3
1994-07-13,42.3,-83.9,6
1994-07-20,42.3,-83.9,2
1994-07-21,42.3,-83.9,2
1994-07-22,42.3,-83.9,1
1994-07-25,42.3,-83.9,5
1994-07-29,42.3,-83.9,1
1994-07-30,42.3,-83.9,3
1994-08-13,42.3,-83.9,7
1994-08-14,42.3,-83.9,7
1994-08-28,42.3,-83.9,2
1994-09-08,42.3,-83.9,1
1994-09-25,42.3,-83.9,4
1994-10-01,42.3,-83.9,3
1995-04-11,42.3,-83.9,3
1995-05-05,42.3,-83.9,1
1995-05-28,42.3,-83.9,15
1995-06-24,42.3,-83.9,12
1995-06-27,42.3,-83.9,51
1995-06-28,42.3,-83.9,26
1995-06-30,42.3,-83.9,4
1995-07-04,42.3,-83.9,5
1995-07-13,42.3,-83.9,32
1995-07-16,42.3,-83.9,77
1995-07-24,42.3,-83.9,1
1995-08-01,42.3,-83.9,81
1995-08-02,42.3,-83.9,5
1995-08-03,42.3,-83.9,6
1995-08-13,42.3,-83.9,6
1995-08-15,42.3,-83.9,15
1995-08-16,42.3,-83.9,1
1995-08-17,42.3,-83.9,2
1995-10-27,42.3,-83.9,1
1996-04-12,42.3,-83.9,2
1996-04-19,42.3,-83.9,4
1996-04-20,42.3,-83.9,2
1996-05-09,42.3,-83.9,14
1996-05-20,42.3,-83.9,1
1996-05-21,42.3,-83.9,1
1996-06-06,42.3,-83.9,1
1996-06-24,42.3,-83.9,13
1996-07-24,42.3,-83.9,2
1996-07-30,42.3,-83.9,9
1996-08-20,42.3,-83.9,7
1996-08-23,42.3,-83.9,2
1996-09-11,42.3,-83.9,10
1996-09-26,42.3,-83.9,1
1996-10-18,42.3,-83.9,1
1996-10-30,42.3,-83.9,4
1997-05-19,42.3,-83.9,6
1997-06-13,42.3,-83.9,3
1997-06-20,42.3,-83.9,4
1997-06-21,42.3,-83.9,11
1997-06-29,42.3,-83.9,13
1997-06-30,42.3,-83.9,39
1997-07-02,42.3,-83.9,46
1997-07-06,42.3,-83.9,2
1997-07-08,42.3,-83.9,14
1997-07-17,42.3,-83.9,2
1997-07-18,42.3,-83.9,8
1997-07-21,42.3,-83.9,18
1997-07-26,42.3,-83.9,99
1997-08-04,42.3,-83.9,1
1997-08-15,42.3,-83.9,1
1997-08-16,42.3,-83.9,4
1997-08-17,42.3,-83.9,5
1997-09-19,42.3,-83.9,12
1997-10-31,42.3,-83.9,2
1998-05-05,42.3,-83.9,1
1998-05-24,42.3,-83.9,1
1998-05-31,42.3,-83.9,24
1998-06-12,42.3,-83.9,3
1998-06-17,42.3,-83.9,6
1998-06-21,42.3,-83.9,1
1998-06-24,42.3,-83.9,68
1998-06-27,42.3,-83.9,9
1998-06-30,42.3,-83.9,9
1998-07-19,42.3,-83.9,3
1998-07-21,42.3,-83.9,34
1998-07-22,42.3,-83.9,1
1998-08-06,42.3,-83.9,1
1998-08-08,42.3,-83.9,1
1998-08-10,42.3,-83.9,2
1998-08-18,42.3,-83.9,2
1998-08-25,42.3,-83.9,1
1998-09-02,42.3,-83.9,2
1998-09-07,42.3,-83.9,31
1998-09-15,42.3,-83.9,1
1998-09-27,42.3,-83.9,1
1999-01-18,42.3,-83.9,3
1999-04-11,42.3,-83.9,1
1999-04-22,42.3,-83.9,4
1999-04-23,42.3,-83.9,1
1999-05-17,42.3,-83.9,32
1999-05-18,42.3,-83.9,10
1999-05-31,42.3,-83.9,13
1999-06-13,42.3,-83.9,1
1999-06-27,42.3,-83.9,1
1999-06-29,42.3,-83.9,1
1999-07-01,42.3,-83.9,11
1999-07-03,42.3,-83.9,7
1999-07-17,42.3,-83.9,11
1999-07-23,42.3,-83.9,8
1999-07-29,42.3,-83.9,3
1999-07-31,42.3,-83.9,6
1999-08-04,42.3,-83.9,5
1999-08-13,42.3,-83.9,1
1999-08-26,42.3,-83.9,6
1999-09-28,42.3,-83.9,1
1999-09-29,42.3,-83.9,24
1999-10-13,42.3,-83.9,16
2000-03-16,42.3,-83.9,1
2000-04-20,42.3,-83.9,12
2000-05-09,42.3,-83.9,3
2000-05-10,42.3,-83.9,3
2000-05-11,42.3,-83.9,4
2000-05-18,42.3,-83.9,3
2000-05-31,42.3,-83.9,7
2000-06-11,42.3,-83.9,4
2000-06-13,42.3,-83.9,7
2000-06-21,42.3,-83.9,1
2000-06-29,42.3,-83.9,13
