DAY,CENTERLAT,CENTERLON,FCOUNT
1987-06-21,42.3,-83.6,1
1987-07-30,42.3,-83.6,1
1987-09-16,42.3,-83.6,1
1988-06-23,42.3,-83.6,1
1988-07-23,42.3,-83.6,1
1988-07-30,42.3,-83.6,9
1988-08-02,42.3,-83.6,9
1988-08-04,42.3,-83.6,2
1988-08-05,42.3,-83.6,3
1988-08-09,42.3,-83.6,5
1988-08-10,42.3,-83.6,1
1988-08-13,42.3,-83.6,1
1988-08-15,42.3,-83.6,23
1988-08-18,42.3,-83.6,16
1988-09-04,42.3,-83.6,1
1988-09-18,42.3,-83.6,2
1988-09-23,42.3,-83.6,2
1988-10-02,42.3,-83.6,1
1988-11-04,42.3,-83.6,1
1989-01-08,42.3,-83.6,1
1989-03-18,42.3,-83.6,1
1989-04-17,42.3,-83.6,2
1989-05-25,42.3,-83.6,19
1989-05-30,42.3,-83.6,1
1989-05-31,42.3,-83.6,8
1989-06-01,42.3,-83.6,11
1989-06-09,42.3,-83.6,18
1989-06-19,42.3,-83.6,1
1989-06-21,42.3,-83.6,10
1989-06-27,42.3,-83.6,10
1989-07-02,42.3,-83.6,1
1989-07-25,42.3,-83.6,40
1989-07-26,42.3,-83.6,92
1989-07-27,42.3,-83.6,22
1989-07-28,42.3,-83.6,12
1989-08-12,42.3,-83.6,5
1989-08-15,42.3,-83.6,1
1989-09-08,42.3,-83.6,12
1989-09-09,42.3,-83.6,8
1989-11-06,42.3,-83.6,2
1990-02-09,42.3,-83.6,1
1990-06-03,42.3,-83.6,8
1990-06-27,42.3,-83.6,1
1990-06-30,42.3,-83.6,8
1990-07-01,42.3,-83.6,1
1990-07-17,42.3,-83.6,1
1990-07-19,42.3,-83.6,1
1990-07-24,42.3,-83.6,1
1990-08-11,42.3,-83.6,9
1990-08-12,42.3,-83.6,5
1990-08-19,42.3,-83.6,16
1990-08-28,42.3,-83.6,1
1990-09-06,42.3,-83.6,3
1990-09-07,42.3,-83.6,85
1990-09-10,42.3,-83.6,1
1990-09-14,42.3,-83.6,1
1991-03-02,42.3,-83.6,2
1991-04-09,42.3,-83.6,1
1991-05-17,42.3,-83.6,1
1991-05-24,42.3,-83.6,3
1991-05-25,42.3,-83.6,3
1991-05-26,42.3,-83.6,2
1991-05-31,42.3,-83.6,9
1991-06-01,42.3,-83.6,17
1991-06-02,42.3,-83.6,2
1991-06-10,42.3,-83.6,3
1991-06-15,42.3,-83.6,6
1991-07-03,42.3,-83.6,1
1991-07-04,42.3,-83.6,3
1991-07-07,42.3,-83.6,3
1991-07-08,42.3,-83.6,3
1991-07-23,42.3,-83.6,6
1991-08-15,42.3,-83.6,1
1991-08-17,42.3,-83.6,5
