DAY,CENTERLAT,CENTERLON,FCOUNT
1988-07-30,42.4,-83.6,8
1988-08-02,42.4,-83.6,10
1988-08-04,42.4,-83.6,1
1988-08-05,42.4,-83.6,4
1988-08-09,42.4,-83.6,7
1988-08-11,42.4,-83.6,1
1988-08-12,42.4,-83.6,6
1988-08-13,42.4,-83.6,11
1988-08-15,42.4,-83.6,21
1988-08-16,42.4,-83.6,1
1988-08-17,42.4,-83.6,2
1988-08-18,42.4,-83.6,5
1988-09-04,42.4,-83.6,1
1989-01-08,42.4,-83.6,2
1989-03-14,42.4,-83.6,1
1989-03-18,42.4,-83.6,1
1989-05-25,42.4,-83.6,10
1989-05-30,42.4,-83.6,1
1989-05-31,42.4,-83.6,2
1989-06-01,42.4,-83.6,2
1989-06-03,42.4,-83.6,1
1989-06-09,42.4,-83.6,24
1989-06-18,42.4,-83.6,1
1989-06-21,42.4,-83.6,12
1989-06-26,42.4,-83.6,2
1989-06-27,42.4,-83.6,13
1989-07-02,42.4,-83.6,5
1989-07-25,42.4,-83.6,1
1989-07-26,42.4,-83.6,3
1989-07-27,42.4,-83.6,16
1989-07-28,42.4,-83.6,3
1989-08-05,42.4,-83.6,2
1989-08-11,42.4,-83.6,3
1989-08-12,42.4,-83.6,1
1989-08-15,42.4,-83.6,25
1989-08-23,42.4,-83.6,6
1989-09-06,42.4,-83.6,1
1989-09-08,42.4,-83.6,3
1989-09-09,42.4,-83.6,3
1989-11-14,42.4,-83.6,4
1989-11-15,42.4,-83.6,1
1990-01-17,42.4,-83.6,1
1990-05-05,42.4,-83.6,1
1990-06-03,42.4,-83.6,14
1990-06-14,42.4,-83.6,3
1990-06-30,42.4,-83.6,7
1990-07-17,42.4,-83.6,10
1990-07-19,42.4,-83.6,2
1990-07-29,42.4,-83.6,1
1990-08-12,42.4,-83.6,1
1990-08-19,42.4,-83.6,6
1990-08-28,42.4,-83.6,24
1990-09-06,42.4,-83.6,4
1990-09-07,42.4,-83.6,110
1990-09-14,42.4,-83.6,2
1990-09-19,42.4,-83.6,1
1990-10-17,42.4,-83.6,1
1991-03-22,42.4,-83.6,1
1991-03-27,42.4,-83.6,1
1991-04-09,42.4,-83.6,1
1991-05-13,42.4,-83.6,1
1991-05-24,42.4,-83.6,13
1991-05-25,42.4,-83.6,5
1991-05-31,42.4,-83.6,11
1991-06-01,42.4,-83.6,2
1991-06-02,42.4,-83.6,3
1991-06-15,42.4,-83.6,8
1991-07-03,42.4,-83.6,2
1991-07-07,42.4,-83.6,13
1991-07-08,42.4,-83.6,7
1991-07-29,42.4,-83.6,1
1991-08-13,42.4,-83.6,1
1991-08-15,42.4,-83.6,2
1991-08-17,42.4,-83.6,7
1991-08-19,42.4,-83.6,2
1991-08-30,42.4,-83.6,84
1991-08-31,42.4,-83.6,7
1991-09-03,42.4,-83.6,13
1991-10-24,42.4,-83.6,1
1991-12-09,42.4,-83.6,2
1992-02-15,42.4,-83.6,2
1992-03-07,42.4,-83.6,2
1992-04-11,42.4,-83.6,2
1992-04-16,42.4,-83.6,3
1992-04-21,42.4,-83.6,4
1992-04-24,42.4,-83.6,1
1992-05-23,42.4,-83.6,1
1992-06-18,42.4,-83.6,28
1992-07-14,42.4,-83.6,19
1992-08-11,42.4,-83.6,2
1992-09-07,42.4,-83.6,8
