DAY,CENTERLAT,CENTERLON,FCOUNT
1987-07-15,42.2,-83.7,1
1987-07-24,42.2,-83.7,3
1987-07-25,42.2,-83.7,1
1987-07-26,42.2,-83.7,1
1988-04-03,42.2,-83.7,1
1988-06-23,42.2,-83.7,2
1988-07-22,42.2,-83.7,2
1988-07-23,42.2,-83.7,7
1988-07-26,42.2,-83.7,1
1988-07-30,42.2,-83.7,4
1988-08-02,42.2,-83.7,5
1988-08-04,42.2,-83.7,1
1988-08-05,42.2,-83.7,7
1988-08-10,42.2,-83.7,2
1988-08-11,42.2,-83.7,1
1988-08-15,42.2,-83.7,28
1988-08-18,42.2,-83.7,10
1988-09-04,42.2,-83.7,1
1988-09-18,42.2,-83.7,4
1988-09-22,42.2,-83.7,1
1988-09-23,42.2,-83.7,8
1988-10-02,42.2,-83.7,1
1988-11-04,42.2,-83.7,1
1989-01-08,42.2,-83.7,3
1989-03-18,42.2,-83.7,1
1989-04-17,42.2,-83.7,1
1989-04-25,42.2,-83.7,2
1989-05-25,42.2,-83.7,26
1989-05-31,42.2,-83.7,52
1989-06-01,42.2,-83.7,9
1989-06-03,42.2,-83.7,1
1989-06-09,42.2,-83.7,3
1989-06-18,42.2,-83.7,1
1989-06-19,42.2,-83.7,6
1989-06-21,42.2,-83.7,1
1989-06-27,42.2,-83.7,3
1989-07-02,42.2,-83.7,4
1989-07-19,42.2,-83.7,1
1989-07-23,42.2,-83.7,1
1989-07-25,42.2,-83.7,57
1989-07-26,42.2,-83.7,50
1989-07-27,42.2,-83.7,5
1989-07-28,42.2,-83.7,2
1989-08-04,42.2,-83.7,7
1989-08-09,42.2,-83.7,1
1989-08-11,42.2,-83.7,5
1989-08-12,42.2,-83.7,3
1989-08-15,42.2,-83.7,6
1989-11-15,42.2,-83.7,1
1990-06-03,42.2,-83.7,5
1990-06-14,42.2,-83.7,5
1990-07-09,42.2,-83.7,3
1990-07-18,42.2,-83.7,1
1990-08-11,42.2,-83.7,29
1990-08-12,42.2,-83.7,1
1990-08-19,42.2,-83.7,16
1990-08-28,42.2,-83.7,1
1990-09-06,42.2,-83.7,5
1990-09-07,42.2,-83.7,105
1990-09-14,42.2,-83.7,1
1991-03-23,42.2,-83.7,1
1991-04-09,42.2,-83.7,9
1991-05-13,42.2,-83.7,13
1991-05-17,42.2,-83.7,2
1991-05-25,42.2,-83.7,4
1991-05-26,42.2,-83.7,1
1991-06-01,42.2,-83.7,5
1991-06-02,42.2,-83.7,1
1991-06-15,42.2,-83.7,4
1991-07-02,42.2,-83.7,3
1991-07-03,42.2,-83.7,2
1991-07-04,42.2,-83.7,1
1991-07-07,42.2,-83.7,1
1991-07-08,42.2,-83.7,14
1991-07-23,42.2,-83.7,16
1991-08-15,42.2,-83.7,1
1991-08-17,42.2,-83.7,8
1991-08-19,42.2,-83.7,3
1991-08-30,42.2,-83.7,37
1991-09-03,42.2,-83.7,5
1991-10-24,42.2,-83.7,4
1992-02-19,42.2,-83.7,1
1992-03-06,42.2,-83.7,1
1992-03-07,42.2,-83.7,3
1992-04-16,42.2,-83.7,13
1992-04-21,42.2,-83.7,2
1992-04-24,42.2,-83.7,12
1992-06-18,42.2,-83.7,58
1992-07-03,42.2,-83.7,2
1992-07-04,42.2,-83.7,1
1992-07-05,42.2,-83.7,2
1992-07-12,42.2,-83.7,2
1992-07-14,42.2,-83.7,11
1992-07-16,42.2,-83.7,1
1992-07-31,42.2,-83.7,3
1992-08-11,42.2,-83.7,7
1992-08-27,42.2,-83.7,4
1992-09-03,42.2,-83.7,2
1992-09-07,42.2,-83.7,4
1992-09-08,42.2,-83.7,1
1992-09-10,42.2,-83.7,4
1992-09-15,42.2,-83.7,13
1992-09-16,42.2,-83.7,3
1992-09-18,42.2,-83.7,1
1992-10-09,42.2,-83.7,10
1992-10-15,42.2,-83.7,2
1992-11-23,42.2,-83.7,1
1993-05-04,42.2,-83.7,10
1993-05-05,42.2,-83.7,2
1993-06-07,42.2,-83.7,2
1993-06-08,42.2,-83.7,1
1993-06-09,42.2,-83.7,2
1993-06-19,42.2,-83.7,4
1993-06-25,42.2,-83.7,2
1993-06-28,42.2,-83.7,6
1993-07-03,42.2,-83.7,3
1993-07-09,42.2,-83.7,42
1993-07-14,42.2,-83.7,20
1993-07-25,42.2,-83.7,34
1993-08-03,42.2,-83.7,3
1993-08-24,42.2,-83.7,3
1993-08-26,42.2,-83.7,2
1993-08-30,42.2,-83.7,3
1993-09-10,42.2,-83.7,2
1993-09-12,42.2,-83.7,8
1993-10-01,42.2,-83.7,2
1994-03-21,42.2,-83.7,1
1994-03-24,42.2,-83.7,1
1994-04-13,42.2,-83.7,1
1994-04-15,42.2,-83.7,15
1994-04-26,42.2,-83.7,1
1994-04-27,42.2,-83.7,5
1994-05-25,42.2,-83.7,7
1994-06-13,42.2,-83.7,75
1994-06-14,42.2,-83.7,7
1994-06-24,42.2,-83.7,13
1994-06-28,42.2,-83.7,3
1994-06-29,42.2,-83.7,1
1994-07-05,42.2,-83.7,4
1994-07-06,42.2,-83.7,40
