DAY,CENTERLAT,CENTERLON,FCOUNT
1987-06-29,42.1,-83.6,1
1987-07-30,42.1,-83.6,1
1987-09-11,42.1,-83.6,1
1988-06-23,42.1,-83.6,5
1988-07-16,42.1,-83.6,1
1988-07-23,42.1,-83.6,6
1988-07-30,42.1,-83.6,9
1988-08-05,42.1,-83.6,2
1988-08-09,42.1,-83.6,1
1988-08-10,42.1,-83.6,2
1988-08-11,42.1,-83.6,3
1988-08-12,42.1,-83.6,4
1988-08-15,42.1,-83.6,35
1988-08-18,42.1,-83.6,10
1988-09-22,42.1,-83.6,1
1988-09-23,42.1,-83.6,8
1989-01-08,42.1,-83.6,1
1989-04-17,42.1,-83.6,1
1989-04-25,42.1,-83.6,1
1989-05-25,42.1,-83.6,31
1989-05-26,42.1,-83.6,1
1989-05-31,42.1,-83.6,39
1989-06-01,42.1,-83.6,5
1989-06-03,42.1,-83.6,2
1989-06-09,42.1,-83.6,19
1989-06-18,42.1,-83.6,3
1989-06-19,42.1,-83.6,29
1989-06-27,42.1,-83.6,1
1989-07-20,42.1,-83.6,14
1989-07-25,42.1,-83.6,23
1989-07-26,42.1,-83.6,130
1989-07-27,42.1,-83.6,2
1989-07-28,42.1,-83.6,5
1989-08-05,42.1,-83.6,1
1989-08-11,42.1,-83.6,4
1989-08-12,42.1,-83.6,2
1989-09-09,42.1,-83.6,1
1990-05-15,42.1,-83.6,2
1990-06-03,42.1,-83.6,6
1990-07-18,42.1,-83.6,1
1990-08-11,42.1,-83.6,16
1990-08-19,42.1,-83.6,12
1990-08-28,42.1,-83.6,5
1990-09-06,42.1,-83.6,1
1990-09-07,42.1,-83.6,34
1990-09-14,42.1,-83.6,7
1991-03-28,42.1,-83.6,1
1991-04-09,42.1,-83.6,3
1991-04-27,42.1,-83.6,3
1991-05-13,42.1,-83.6,24
1991-05-17,42.1,-83.6,23
1991-05-24,42.1,-83.6,1
1991-05-25,42.1,-83.6,5
1991-05-26,42.1,-83.6,12
1991-05-30,42.1,-83.6,1
1991-05-31,42.1,-83.6,4
1991-06-01,42.1,-83.6,16
1991-06-02,42.1,-83.6,1
1991-06-15,42.1,-83.6,13
1991-06-16,42.1,-83.6,4
1991-07-02,42.1,-83.6,5
1991-07-07,42.1,-83.6,4
1991-07-08,42.1,-83.6,22
1991-07-29,42.1,-83.6,1
1991-08-15,42.1,-83.6,14
1991-08-17,42.1,-83.6,15
1991-08-19,42.1,-83.6,2
1991-08-20,42.1,-83.6,8
1991-08-30,42.1,-83.6,6
1991-10-24,42.1,-83.6,7
1992-04-16,42.1,-83.6,10
1992-04-23,42.1,-83.6,1
1992-04-24,42.1,-83.6,1
1992-05-23,42.1,-83.6,1
1992-06-07,42.1,-83.6,1
1992-06-18,42.1,-83.6,42
1992-07-03,42.1,-83.6,4
1992-07-05,42.1,-83.6,4
1992-07-08,42.1,-83.6,4
1992-07-14,42.1,-83.6,4
1992-07-16,42.1,-83.6,2
1992-07-19,42.1,-83.6,1
1992-07-23,42.1,-83.6,1
1992-07-31,42.1,-83.6,1
1992-08-08,42.1,-83.6,1
1992-08-11,42.1,-83.6,14
1992-08-26,42.1,-83.6,13
1992-09-03,42.1,-83.6,22
1992-09-07,42.1,-83.6,5
1992-09-10,42.1,-83.6,14
1992-09-15,42.1,-83.6,14
1992-09-16,42.1,-83.6,21
1992-09-18,42.1,-83.6,1
1992-10-14,42.1,-83.6,2
1992-10-15,42.1,-83.6,4
1992-11-23,42.1,-83.6,1
1993-05-05,42.1,-83.6,1
1993-06-07,42.1,-83.6,1
