DAY,CENTERLAT,CENTERLON,FCOUNT
1987-07-30,42.1,-83.8,1
1987-08-02,42.1,-83.8,1
1987-08-28,42.1,-83.8,1
1988-07-22,42.1,-83.8,5
1988-07-23,42.1,-83.8,8
1988-07-25,42.1,-83.8,4
1988-07-26,42.1,-83.8,3
1988-07-30,42.1,-83.8,3
1988-08-02,42.1,-83.8,1
1988-08-04,42.1,-83.8,7
1988-08-05,42.1,-83.8,2
1988-08-11,42.1,-83.8,1
1988-08-12,42.1,-83.8,3
1988-08-15,42.1,-83.8,15
1988-08-18,42.1,-83.8,13
1988-09-04,42.1,-83.8,2
1988-09-23,42.1,-83.8,3
1988-10-18,42.1,-83.8,1
1988-11-04,42.1,-83.8,1
1989-01-08,42.1,-83.8,2
1989-03-18,42.1,-83.8,1
1989-04-17,42.1,-83.8,1
1989-04-25,42.1,-83.8,5
1989-05-25,42.1,-83.8,32
1989-05-31,42.1,-83.8,59
1989-06-01,42.1,-83.8,9
1989-06-03,42.1,-83.8,2
1989-06-19,42.1,-83.8,2
1989-06-21,42.1,-83.8,3
1989-06-22,42.1,-83.8,4
1989-06-27,42.1,-83.8,6
1989-07-02,42.1,-83.8,12
1989-07-20,42.1,-83.8,11
1989-07-25,42.1,-83.8,51
1989-07-26,42.1,-83.8,8
1989-07-27,42.1,-83.8,4
1989-08-04,42.1,-83.8,2
1989-08-09,42.1,-83.8,1
1989-08-11,42.1,-83.8,33
1989-08-12,42.1,-83.8,1
1989-09-09,42.1,-83.8,7
1989-11-15,42.1,-83.8,1
1990-06-03,42.1,-83.8,9
1990-06-14,42.1,-83.8,14
1990-07-17,42.1,-83.8,1
1990-07-18,42.1,-83.8,1
1990-08-19,42.1,-83.8,15
1990-08-28,42.1,-83.8,6
1990-09-07,42.1,-83.8,33
1990-09-14,42.1,-83.8,1
1991-03-28,42.1,-83.8,2
1991-04-09,42.1,-83.8,10
1991-05-13,42.1,-83.8,7
1991-05-17,42.1,-83.8,3
1991-05-25,42.1,-83.8,1
1991-05-26,42.1,-83.8,3
1991-05-31,42.1,-83.8,1
1991-06-01,42.1,-83.8,4
1991-06-02,42.1,-83.8,1
1991-06-10,42.1,-83.8,4
1991-06-15,42.1,-83.8,17
1991-07-03,42.1,-83.8,6
1991-07-08,42.1,-83.8,18
1991-07-29,42.1,-83.8,2
